Nombre,Categoría
Buñuelos de marisco 6kg,Precocinados
Burger crujiente 6kg,Precocinados
Calabacín rebozado 1x5kg,Precocinados
Calamar relleno 1x6kg,Precocinados
Calamar romana 1x4kg,Precocinados
Cheddar sticks 6x1kg,Precocinados
Cheese rings 3x1kg,Precocinados
Coliflor rebozada 6x1kg,Precocinados
Cordon bleu 1x6kg,Precocinados
Croqueta arroz negro con alioli 4x500g,Precocinados
Croqueta pulpo gallega 4x500g,Precocinados
Croquetas espinacas 4x1kg,Precocinados
Croquetas bacalao 1x6kg,Precocinados
Croquetas bacalao 8x500g,Precocinados
Croquetas cabrales y nueces 12x500g,Precocinados
Croquetas carabineros 4'5kg,Precocinados
Croquetas chipirón a la tinta 2x1kg,Precocinados
Croquetas cocido 8x500g,Precocinados
Croquetas cola toro 4x3kg,Precocinados
Croquetas de bogavante 12x500g,Precocinados
Croquetas de tortilla 8x500g,Precocinados
Croquetas gambas al ajillo 12x500g,Precocinados
Croquetas gambón 4x500g,Precocinados
Croquetas jamón 6x1kg,Precocinados
Croquetas jamón ibérico 8x500g,Precocinados
Croquetas marisco 6kg,Precocinados
Croquetas atún mechado 6kg,Precocinados
Croquetas merluza con gambas 5kg,Precocinados
Croquetas pollo 6x1kg,Precocinados
Croquetas rabo vacuno 2x1kg,Precocinados
Croquetas secreto con miel 4x500g,Precocinados
Croquetas setas 8x500g,Precocinados
Crujiburguer de espinacas 3x1kg,Precocinados
Crujiburguer de pollo 3x1kg,Precocinados
Crujiburguer de zanahoria 3x1kg,Precocinados
Crujiburguer de falafel 3x1kg,Precocinados
Crujientes de langostino 4x1kg,Precocinados
Cuadrelli ricota anchoa y espinacas 4kg,Precocinados
Dátiles con bacon 3x1kg,Precocinados
Empanadas atún plancha 3x3'2kg,Precocinados
Finger mozzarella 2x1kg,Precocinados
Filete merluza empanada 1x4kg,Precocinados
Filete ruso 6kg,Precocinados
Finger pollo crujiente 6x1kg,Precocinados
Finger pollo marinado 1x3kg,Precocinados
Flamenquín ave 6kg,Precocinados
Flamenquín de york 1x5kg,Precocinados
Focaccia con cebolla 5x1'6kg,Precocinados
Gambas rebozadas ajo y perejil 2kg,Precocinados
Guarnición de verduras 10x1kg,Precocinados
Gyoza pollo 12x400g,Precocinados
Gyoza ternera 12x400g,Precocinados
Hamburguesas de atún 8x500g,Precocinados
Hamburguesas de choco 8x500g,Precocinados
Huevo bechamel 3x1kg,Precocinados
Lagrimitas de pollo 1x6kg,Precocinados
Mejillón relleno casero 4x1kg,Precocinados
Mini empanadillas 1x4kg,Precocinados
Mini empanadillas cochinillo 10x500g,Precocinados
Mini san jacobo 1x4kg,Precocinados
Mini croquetas ibérico o setas 2x1kg,Precocinados
Mini croquetas jamón 1x4kg,Precocinados
Mini croquetas rabo toro 5kg,Precocinados
Muslito del mar 10x1kg,Precocinados
Nuggets de pescado 1x4kg,Precocinados
Nuggets de pollo 1x3kg,Precocinados
Palitos de pescado 1x6kg,Precocinados
Palomitas de pollo 6x1kg,Precocinados
Parrillada campestre 2x2’5kg,Precocinados
Pavía de merluza 15x400g,Precocinados
Pechuga empanada rell.jamón y pim. 6x1kg,Precocinados
Pechuga empanada 1x4kg,Precocinados
Peskitos merluza 4kg,Precocinados
Pimiento piquillo relleno bacalao 1x6kg,Precocinados
Pimientos rebozados 1x6kg,Precocinados
Pimientos rojos congelados 4x2'5kg,Precocinados
Pimientos verdes congelados 4x2'5kg,Precocinados
Pollo empanado 1x4kg,Precocinados
Pollo estilo Kentucky 3x1kg,Precocinados
Rodaja merluza empanada 1x4kg,Precocinados
Tiras de choco empanada 4x1kg,Precocinados
Tortilla camarones,Precocinados
Tortilla francesa 60x75g,Precocinados
Tortilla francesa con atún 75g,Precocinados
Tortilla patata 14x500g,Precocinados
Tortilla plancha 750g 1x12t,Precocinados
Tortillita de camarón 2x1'25kg,Precocinados
Tortillón 10x800g,Precocinados
Tortillón con atún 10x800g,Precocinados
Tortillón con calabacín 10x800g,Precocinados
Tortillón con chorizo 10x800g,Precocinados
Tortillón con espinacas 10x800g,Precocinados
Tortillón con pimientos 10x800g,Precocinados
Tortillón patatas con cebolla 6x1'5kg,Precocinados
Twister de langostino 4x1kg,Precocinados
Varitas de pescado 1x6kg,Precocinados
Verdura en tempura 6x1kg,Precocinados
Acelgas 15g 4 x 2'5kg,Verduras
Ajo verde troceado 1x10kg,Verduras
Ajos picados 16x125g,Verduras
Alcachofas 4x2'5kg,Verduras
Berenjena cubo 4x2'5kg,Verduras
Boletus edulis 1x5kg,Verduras
Brocoli 1x10kg,Verduras
Calabacín en dados 4x2'5kg,Verduras
Calabaza en dados 4x2'5kg,Verduras
Cebolla cubo 1x10kg,Verduras
Cebollitas perla 4x2'5kg,Verduras
Champiñón entero 3kg,Verduras
Champiñón laminado 1/2kg 1x12 latas,Verduras
Champiñón laminado 4x2'5kg,Verduras
Champiñones enteros 4x2'5kg,Verduras
Coles bruselas 4x2'5kg,Verduras
Coliflor 4x2'5kg,Verduras
Espárragos troceados 4x2'5kg,Verduras
Espárragos verdes gordos 5kg,Verduras
Espinacas porciones 4x2'5kg,Verduras
Fondo alcachofas 4x2'5kg,Verduras
Garrafón 4x2'5kg,Verduras
Guisantes simple 4x2'5kg,Verduras
Habas pequeñas 4x2'5kg,Verduras
Judías extra finas 4x2.5kg,Verduras
Judías planas 4x2'5kg,Verduras
Judías redondas 4x2'5kg,Verduras
Maíz dulce 4x2'5kg,Verduras
Menestra imperial 4x2'5kg,Verduras
Menestra normal 4x2'5kg,Verduras
Mezcla china 4x2'5kg,Verduras
Mezcla de setas 5kg,Verduras
Pimiento rojo tiras 6x2500g,Verduras
Pimiento tricolor tiras 4x2'5kg,Verduras
Pimientos cubo verde 4x2'5kg,Verduras
Pisto asado 4x2'5kg,Verduras
Pisto ratatouille 4x2'5kg,Verduras
Puerro troceado 4x2'5kg,Verduras
Setas del bosque 6x1kg,Verduras
Zanahorias baby 4x2'5kg,Verduras
Zanahorias cubo 1x10kg,Verduras
Zanahorias parisinas 4x2'5kg,Verduras
Zanahorias rodaja 4x2'5kg,Verduras
Arroz 3 delicias 4x2'5kg,Preparados con verduras
Ensalada alemana 5kg,Preparados con verduras
Ensalada arroz 4x2'5kg,Preparados con verduras
Ensalada china 4x2'5kg,Preparados con verduras
Ensalada italiana cubo 5kg,Preparados con verduras
